video_id,title,description,tags,published_at,channel_id,channel_title,category_id,duration,definition,viewCount,likeCount,commentCount
4wZwXhoxRIA,15 Tech Gadgets I Use Every Day #shorts #justicebuys #tech,,[],2025-01-04T19:26:39Z,UCKaWD4ZM7ixlot6ysBVKP_g,Justice Buys,22,PT1M,hd,18158062,608801,2513
5fKkXFresYI,5 Times Tech has SAVED LIVES!,"#shorts #technology 

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

Twitter - For my tech hot takes: https://goo.gl/EFhwqL
Instagram - For my personal posts: https://goo.gl/OUqBBa
Facebook - Does anyone still use this anymore?: https://goo.gl/Aluzl1

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://goo.gl/3yS2aP
Amazon UK: https://goo.gl/gvrsGZ

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT","[""tech"", ""shorts""]",2022-10-15T08:25:08Z,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,28,PT1M,hd,41069097,2641826,8343
KArch4rjU_0,USB in USB #charger #technology #electronic #funny,Maybe stop plugging things into each other to see when they fail!!!,[],2024-05-12T17:37:14Z,UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM,28,PT17S,hd,46372211,2128095,5846
gsJAlLOFBv0,TINY Tech That Actually Works,,"[""tiny"", ""tech"", ""gadgets"", ""small"", ""miniature""]",2025-05-02T17:37:10Z,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,28,PT57S,hd,9991766,268961,558
uvG-WToQfU4,Old Or New Technology?,"Follow me here:
Instagram ► https://www.instagram.com/sambucha 
X ► https://www.x.com/sambucha 

Become a Member:
https://www.youtube.com/channel/UCWBWgCD4oAqT3hUeq40SCUw/join

#shorts #technology #tech #product #old #new #education #inventions #sambucha",[],2024-07-17T19:15:02Z,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,24,PT1M,hd,3764110,246115,2513
ewmRD0MacxI,Top 3 Smartphone gadgets under ₹50||🔥🤯 #shorts #gadgets #viralvideo #ytshorts,"Top 3 Smartphone gadgets under ₹50||🔥🤯 #shorts #gadgets #viralvideo #ytshorts

top 3 unique gadgets
cool unique gadgets
unique useful gadgets
unique gadgets
unique tech gadgets
unique cool gadgets
top 3 gadgets
unique gadget gifts
coolest futuristic gadgets
coolest magnetic gadgets
cool gadgets under 30 dollars
unique devices
d unique tools
unique smart gadgets
future cool gadgets
futuristic gadgets that don't exist
futuristic tools
hi-tech gadgets
unique tech items
japanese cool gadgets
most unique kitchen gadgets
best unique kitchen gadgets
top 3 gadgets of 2024
unique gadgets in the world
unique gadgets to buy
most useful gadgets
unique pieces of technology
unique toys octane
unique tech products
unique technology products
r-t best gadget
world's coolest gadgets
zz top 3 piece band
zz top gifts
zz top gnomes
zz top without hats and glasses
20 coolest gadgets
10 coolest gadgets
3 gadgets
what are the top 5 gadgets
6 gadgets

Gadgets
Top 3 gadgets
This 2 Gadgets will save your Life
Gadgets can save you life
student safety gadgets
safety gadgets
v3 facts
Cool gadgets
iPhone
review
tech
Unboxing
unboxing gadgets
amazon
smart watch
smart phone
ai

#gadgets #tech #amazon #review #ai #iphone #unboxing #youtubeshorts #shortsfeed #gadgetsshorts #iphone15
#watch #smartwatch #shortsfunny #Godunbox","[""shorts"", ""gadgets"", ""amazing gadgets"", ""unique gadgets"", ""unique cool gadgets"", ""usefull Gadgets"", ""Top 3 Smartphone gadgets"", ""Top 3 Smartphone gadgets under 50"", ""Top 3 Best Unique Gadgets"", ""boys gadgets""]",2024-12-10T10:30:15Z,UCcCjXTiKc-0wFKHI035VVzQ,v3 facts ,27,PT28S,hd,3521574,,30780
lCHqmzynO-s,Overrated vs. Underrated Tech,"💬 Join my Discord server: https://discord.gg/gohar
📝 I'll edit your college essay: https://nextadmit.com/services/essay/
🎓 Get into your dream school: https://nextadmit.com/roadmap/",[],2024-07-08T18:04:31Z,UCPk2s5c4R_d-EUUNvFFODoA,Gohar Khan,27,PT31S,hd,22405730,924952,2751
cS0hLW8qulk,The Future of Technology (2025+),"Future technology part -1
 #technology
 #futuretech
 #shorts
 #ytshorts

future technology
technology
ai
artificial intelligence
science
future technologies
elon musk
future business technologies
future business tech
future of technology
future technology 2050
future gadgets
tech trends 2024
tech trends 2025
innovation
future technology 60 minutes
future technology 2030
robotics
Future mobile","[""Future mobile"", ""ai"", ""ai advancements"", ""ai innovations"", ""artificial intelligence"", ""cool gadgets"", ""elon musk"", ""elon musk tech"", ""emerging trends"", ""future business tech"", ""future business technologies"", ""future gadgets"", ""future of technology"", ""future tech"", ""future technology"", ""future technology 2030"", ""future technology 60 minutes"", ""innovation"", ""next gen"", ""next-gen technology"", ""robotics"", ""robotics trends"", ""science"", ""smart gadgets"", ""tech predictions"", ""tech trends 2024"", ""tech trends 2025"", ""technology"", ""vr""]",2024-12-22T03:30:14Z,UCcku89bM8Nu8rtAaledTPxg,Rohit Ramani ,28,PT24S,hd,666602,7960,171
ICL9LXZvjes,4 SINFUL Tech Pranks - HIDE YOUR FRIENDS 👺,"Do consider subscribing to my Shorts Channel! 👊
Main Mrwhosetheboss YouTube Channel: https://www.youtube.com/user/Mrwhosetheboss
#shorts #tech #pranks","[""shorts"", ""tech"", ""iphone"", ""smartphone"", ""hacks"", ""mrwhosetheboss"", ""pranks"", ""tech pranks"", ""ios""]",2021-09-04T10:28:48Z,UCZSlfzadjnw7G419c_OJ9eg,Mrwhosetheboss Plus,28,PT55S,hd,29343507,2033462,6289
#NAME?,WiFi Body Fingerprinting,https://www.epidemicsound.com/track/c89qNegnHt/,[],2025-07-27T20:00:00Z,UC4Z8mPYjn6Dhr6n531YDh0Q,UFD Tech,28,PT56S,hd,662867,26015,1234
RHtnrzct2RM,The latest Chinese technology trends are amazing,#techno #short #technology #newphone,[],2021-10-18T21:51:15Z,UCswhjJmbjCmBOErBUo2NYbg,World New News every day,25,PT10S,hd,829916,6694,55
Uy7rP_rXzv4,Cleaning a Lenovo Legion laptop to fix overheating #tech #pc #technology #shorts,"The Lenovo Legion is actually a great gaming laptop packed with high performance technology that's super easy to work on. But every portable gaming PC needs a tech cleaning once in a while, and this computer is no exception. This is not the dirtiest laptop I've ever worked on, but given these fan blades are so close together, I think I'll be seeing more of these in my computer repair shop going forward.",[],2024-09-06T20:13:48Z,UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts,28,PT1M,hd,3038154,183104,1412
Cn7020nMstc,Technology comedy video😅 #shorts #funny #surajpkcomedy #ytshorts,Technology comedy video😅 #shorts #funny #surajpkcomedy #ytshorts,[],2025-04-08T04:36:25Z,UC3hsgInrT3d9FEYQW82OFTw,Suraj pk comedy,23,PT17S,hd,2297571,19543,85
e92Y3yx9u-A,3 Weirdest Minecraft Tech Products,3 Weirdest Minecraft Tech Products,"[""dantic"", ""tech"", ""gaming"", ""minecraft"", ""3 Weirdest Minecraft Tech Products"", ""minecraft tech""]",2025-06-27T12:42:32Z,UCNNdYhLEd4aAivW_V9GNOMQ,Dantic,28,PT43S,hd,1804201,46205,106
