video_id,title,description,tags,published_at,channel_id,channel_title,category_id,duration,definition,viewCount,likeCount,commentCount
uvG-WToQfU4,Old Or New Technology?,"Follow me here:
Instagram ► https://www.instagram.com/sambucha 
X ► https://www.x.com/sambucha 

Become a Member:
https://www.youtube.com/channel/UCWBWgCD4oAqT3hUeq40SCUw/join

#shorts #technology #tech #product #old #new #education #inventions #sambucha",[],2024-07-17T19:15:02Z,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,24,PT1M,hd,3764580,246124.0,2513
5fKkXFresYI,5 Times Tech has SAVED LIVES!,"#shorts #technology 

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

Twitter - For my tech hot takes: https://goo.gl/EFhwqL
Instagram - For my personal posts: https://goo.gl/OUqBBa
Facebook - Does anyone still use this anymore?: https://goo.gl/Aluzl1

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://goo.gl/3yS2aP
Amazon UK: https://goo.gl/gvrsGZ

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT","[""tech"", ""shorts""]",2022-10-15T08:25:08Z,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,28,PT1M,hd,41069685,2641702.0,8343
aDt7WrHTnYw,Other Technology vs The Last One 🧠💡| #edit #technology #newyork #usa,"Note: This video uses edited clips from a source, which I’ve credited below. If you’re the creator of any clip and have concerns, please contact me, and I will remove the content upon request.

This video is for entertainment and educational purposes only and is not intended to misrepresent or cause harm.

Clips Source:
-

#edit #viral #interesting #skulledit #crazyedit #usa #usacontent #newyork","[""edit"", ""technology"", ""trollface"", ""usa""]",2025-06-28T13:32:21Z,UCew68ead-ICUgtnvaLwLbTQ,Viral Burnz,22,PT59S,hd,8534406,,199
UCbb7d4KcvQ,"$3,000 Razer #PC can't be fixed! Razer WORSE than Apple w/ Right to Repair #tech #technology #shorts","This is the second time I've been stopped from repairing a 2022 Razer Blade 15 Advanced computer because of lack of replacement parts. Razer is worse than Apple when it comes to right to repair because they outright refuse to sell replacement parts for any of their technology . At least Apple will sell you overpriced replacement parts that cost more than your device is worth. My customer is stuck with a pc that has a broken 4K OLED Display that uses proprietary tech , so they will have to send it in to Razer and pay over $600 to get it fixed. This is why I say the computer repair industry is dying. It's not like I'm trying to fix a CPU or GPU in my computer repair shop, I'm just trying to replace a broken display. Crazy.",[],2024-10-31T11:00:38Z,UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts,2,PT1M,hd,8140080,496457.0,2670
KArch4rjU_0,USB in USB #charger #technology #electronic #funny,Maybe stop plugging things into each other to see when they fail!!!,[],2024-05-12T17:37:14Z,UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM,28,PT17S,hd,46387081,2128380.0,5847
gsJAlLOFBv0,TINY Tech That Actually Works,,"[""tiny"", ""tech"", ""gadgets"", ""small"", ""miniature""]",2025-05-02T17:37:10Z,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,28,PT57S,hd,10009543,269351.0,560
xiv6IE915nc,30 year old IBM ThinkPad puts modern #tech to shame #pc #technology #shorts,"This 30 year old IBM ThinkPad shows how important build quality is when it comes to making a laptop last. Back in 1994 this thick piece of technology cost $4500 which is $9500 in today's money, but what you got was a computer that could physically hold up after 30 years. Of course the tech is obsolete now, but this pc proves how long they can last if the company isn't afraid to innovate and they don't cut corners with the design. Imagine having this build quality in a modern gaming laptop? Not to mention the ability to upgrade everything because it's modular. But anyways, here's some more RGB.",[],2023-11-08T22:46:26Z,UCClfFsWcT3N2I7VTXXyt84A,Salem Techsperts,28,PT1M1S,hd,8676379,472745.0,2308
VnZG9Zi73wI,Others Technologia Vs TheLastOne 🤯💀,"Others Technologia Vs TheLastOne 🤯💀 #usashorts #technology #technologia #technologie #usacontent #skulledit #newedit #youtubeshorts #newvideo #lastone 

Warning: This video is for entertainment purposes only. It does not promote real violence, dangerous behavior, or illegal activities. All clips and music used in this video do not belong to me; I only edit and compile them for creative purposes.

If you are the copyright owner and would like your content removed, please contact me directly. I will take it down immediately upon request.

📩Contact -:- devupromotion@gmail.com

Thank you❤",[],2025-05-30T12:30:39Z,UCRuc-fHVjLYwffDHawO_3-A,DEVU SIGMA,24,PT56S,hd,25198903,377492.0,531
ZRGiUtd0yWc,Lava 33W Type C Fast Charger With PD Technology #fastcharge #pd #technology #typec #shorts,"Hi Friends 

Welcome To Our Youtube Channel 
Don't Forget To Like Comment Share And Subscribe This channel 💝 🙏 
Daily Upload Video Foryou 
Technology Related Video Daily Upload 
Digital India

This Video is About Lava Adapter
Lava 33W Type C Fast Charger 
Lava 33W Fast Charger price 
Lava 33W Type C Charger
Lava 33W Type C Fast adapter unboxing 
Lava 33W Type C Fast Charger price 
Lava Travel Adapter
Lava Travel Adapter Video
Lava 33W Type C Fast Charger with PD Technology 
Lava Fast Charger Type C with PD Technology video 

Lava Fast charger 
Lava Fast charger price 
Lava Fast charger video 
Lava Fast charger unboxing 

#fastcharge #typec #power #direct #technology #explore #foryou #firstshortvideo #shorts 

Lava 33W Type C Fast Charger 
Lava 33W Type C Charger 
Lava 33W charger
Lava 33W Fast Charger Video

Thanks For Visit Here 
💝🙏","[""#Lava Fast charger"", ""#Lava Fast charger unboxing"", ""#Lava 33W Fast Charger"", ""#Lava Fast charger video"", ""#Lava Fast charger 33W"", ""#Lava 33W Type C Charger"", ""#Lava 33W Type C Fast Charger price"", ""#Lava PD Charger"", ""#Lava PD Adapter"", ""#Lava Travel Adapter Video"", ""#Lava Travel Adapter 33W Type C"", ""#Lava 33W Type C Fast Charger Cable"", ""#Lava Fast travel adapter"", ""#Lava New mobile fast charger"", ""#Lava company fast charger"", ""#Lava Company's fast charger price""]",2025-08-14T07:30:10Z,UCGGFvB0MtpSFNmY1vbK9bxA,Smart Explainer,28,PT18S,hd,999,11.0,1
gkklrVa8amY,The Most Futuristic Tech Of 2025.....,"Dive into the future with us at MWC Barcelona! We've uncovered tech that'll blow your mind, from earbuds that redefine audio to a smartphone that's practically indestructible. But that's just the start—wait till you see the foldable laptop that bends reality and a car that's more tech than vehicle. Prepare to question what's possible.","[""TechWiser""]",2025-03-06T10:09:46Z,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,28,PT2M1S,hd,895917,59375.0,209
